_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-2.5,M12520,M1,1,0,Transcription Factor Targets,16,SOX9 B1,,-2.5,3,3.5,30337,238,380,9,2.4,0.78,3339|4155|4784|5998|6886|7465|26468|65244|89796,HSPG2|MBP|NFIX|RGS3|TAL1|WEE1|LHX6|SPATS2|NAV1,-0.56,0
1,-2.5,M15061,M1,1,0,Transcription Factor Targets,16,HAND1E47 01,,-2.5,2.8,3.5,30337,284,380,10,2.6,0.82,3216|3983|4773|5595|5753|6586|8553|25862|65250|79652,HOXB6|ABLIM1|NFATC2|MAPK3|PTK6|SLIT3|BHLHE40|USP49|CPLANE1|TMEM204,-0.55,0
1,-2.5,M2958,M1,1,0,Transcription Factor Targets,16,GATA1 05,,-2.5,2.8,3.5,30337,284,380,10,2.6,0.82,3090|3200|3216|5154|23369|26468|54897|55684|161882|389337,HIC1|HOXA3|HOXB6|PDGFA|PUM2|LHX6|CASZ1|RABL6|ZFPM1|ARHGEF37,-0.55,0
1,-2.5,M9852,M1,1,0,Transcription Factor Targets,16,CHOP 01,,-2.5,3,3.5,30337,239,380,9,2.4,0.78,639|2107|3202|3983|5493|8553|22997|55182|79026,PRDM1|ETF1|HOXA5|ABLIM1|PPL|BHLHE40|IGSF9B|RNF220|AHNAK,-0.55,0
1,-2.4,M30272,M1,1,0,Transcription Factor Targets,16,ZNF197 TARGET GENES,,-2.4,2.1,3.1,30337,655,380,17,4.5,1.1,115|4784|5578|5725|5799|6886|22883|51252|55229|55620|64375|79890|80305|84256|114781|147687|254102,ADCY9|NFIX|PRKCA|PTBP1|PTPRN2|TAL1|CLSTN1|FAM178B|PANK4|STAP2|IKZF4|RIN3|TRABD|FLYWCH1|BTBD9|ZNF417|EHBP1L1,-0.49,0
1,-2.4,M13012,M1,1,0,Transcription Factor Targets,16,TGCTGAY UNKNOWN,,-2.4,2.2,3.2,30337,547,380,15,3.9,1,105|639|1788|3200|5209|6586|7171|9922|11078|65244|79990|84628|116988|130497|339983,ADARB2|PRDM1|DNMT3A|HOXA3|PFKFB3|SLIT3|TPM4|IQSEC1|TRIOBP|SPATS2|PLEKHH3|NTNG2|AGAP3|OSR1|NAT8L,-0.49,0
1,-2.4,M19265,M1,1,0,Transcription Factor Targets,16,SREBP1 Q6,,-2.4,2.9,3.4,30337,247,380,9,2.4,0.78,3200|3339|4784|6586|11187|22859|23499|26960|54897,HOXA3|HSPG2|NFIX|SLIT3|PKP3|ADGRL1|MACF1|NBEA|CASZ1,-0.48,0
1,-2.4,M8603,M1,1,0,Transcription Factor Targets,16,GR 01,,-2.4,3.1,3.5,30337,203,380,8,2.1,0.74,639|4155|5998|6382|8553|23136|23369|54897,PRDM1|MBP|RGS3|SDC1|BHLHE40|EPB41L3|PUM2|CASZ1,-0.48,0
1,-2.3,M6628,M1,1,0,Transcription Factor Targets,16,GTGGGTGK UNKNOWN,,-2.3,2.7,3.3,30337,297,380,10,2.6,0.82,3200|4035|5048|5581|6586|8553|23136|29933|161502|161882,HOXA3|LRP1|PAFAH1B1|PRKCE|SLIT3|BHLHE40|EPB41L3|GPR132|CFAP161|ZFPM1,-0.46,0
1,-2.3,M30012,M1,1,0,Transcription Factor Targets,16,HOXB7 TARGET GENES,,-2.3,8.9,4.6,30337,27,380,3,0.79,0.45,10044|51422|54090,SH2D3C|PRKAG2|LINC00111,-0.46,0
1,-2.3,M16396,M1,1,0,Transcription Factor Targets,16,AP2GAMMA 01,,-2.3,2.9,3.3,30337,252,380,9,2.4,0.78,1059|3090|3200|5605|7071|25862|26468|55182|63976,CENPB|HIC1|HOXA3|MAP2K2|KLF10|USP49|LHX6|RNF220|PRDM16,-0.45,0
1,-2.3,M19147,M1,1,0,Transcription Factor Targets,16,HMGIY Q6,,-2.3,2.8,3.3,30337,253,380,9,2.4,0.78,3216|3339|4784|5048|7022|9902|23327|54453|55182,HOXB6|HSPG2|NFIX|PAFAH1B1|TFAP2C|MRC2|NEDD4L|RIN2|RNF220,-0.44,0
1,-2.3,M1607,M1,1,0,Transcription Factor Targets,16,NERF Q2,,-2.3,2.8,3.3,30337,254,380,9,2.4,0.78,3090|4774|5595|5998|29933|50619|161882|256364|339983,HIC1|NFIA|MAPK3|RGS3|GPR132|DEF6|ZFPM1|EML3|NAT8L,-0.44,0
1,-2.3,M30111,M1,1,0,Transcription Factor Targets,16,PAX8 TARGET GENES,,-2.3,4.5,3.7,30337,88,380,5,1.3,0.58,1953|3689|6533|79652|221472,MEGF6|ITGB2|SLC6A6|TMEM204|FGD2,-0.43,0
1,-2.3,M2610,M1,1,0,Transcription Factor Targets,16,RREB1 01,,-2.3,3.1,3.4,30337,209,380,8,2.1,0.74,3200|4035|5581|7078|23526|26053|54897|55182,HOXA3|LRP1|PRKCE|TIMP3|ARHGAP45|AUTS2|CASZ1|RNF220,-0.43,0
1,-2.3,M11469,M1,1,0,Transcription Factor Targets,16,AP2 Q3,,-2.3,2.8,3.3,30337,255,380,9,2.4,0.78,2107|3090|3985|7022|7071|26468|55182|63976|256364,ETF1|HIC1|LIMK2|TFAP2C|KLF10|LHX6|RNF220|PRDM16|EML3,-0.43,0
1,-2.3,M19017,M1,1,0,Transcription Factor Targets,16,P53 02,,-2.3,2.8,3.3,30337,255,380,9,2.4,0.78,575|3090|3625|5493|9902|11187|57585|79026|153090,ADGRB1|HIC1|INHBB|PPL|MRC2|PKP3|CRAMP1|AHNAK|DAB2IP,-0.43,0
1,-2.3,M5708,M1,1,0,Transcription Factor Targets,16,OCT1 05,,-2.3,2.8,3.3,30337,255,380,9,2.4,0.78,3200|3202|5771|5998|6586|22859|26468|55229|83879,HOXA3|HOXA5|PTPN2|RGS3|SLIT3|ADGRL1|LHX6|PANK4|CDCA7,-0.43,0
1,-2.3,M6490,M1,1,0,Transcription Factor Targets,16,IPF1 Q4,,-2.3,2.8,3.2,30337,258,380,9,2.4,0.78,639|1523|4784|6595|10458|23051|56937|256364|285498,PRDM1|CUX1|NFIX|SMARCA2|BAIAP2|ZHX3|PMEPA1|EML3|RNF212,-0.41,0
1,-2.2,M9525,M1,1,0,Transcription Factor Targets,16,SP1 Q6,,-2.2,2.8,3.2,30337,260,380,9,2.4,0.78,2314|5771|7078|10044|22883|53637|83879|94086|256364,FLII|PTPN2|TIMP3|SH2D3C|CLSTN1|S1PR5|CDCA7|HSPB9|EML3,-0.4,0
1,-2.2,M13889,M1,1,0,Transcription Factor Targets,16,PPAR DR1 Q2,,-2.2,2.7,3.2,30337,264,380,9,2.4,0.78,639|1788|3200|3216|4035|11332|57584|63976|201191,PRDM1|DNMT3A|HOXA3|HOXB6|LRP1|ACOT7|ARHGAP21|PRDM16|SAMD14,-0.37,0
1,-2.2,M9426,M1,1,0,Transcription Factor Targets,16,PAX Q6,,-2.2,2.7,3.2,30337,264,380,9,2.4,0.78,639|3202|4772|5998|6586|6886|23030|55182|65244,PRDM1|HOXA5|NFATC1|RGS3|SLIT3|TAL1|KDM4B|RNF220|SPATS2,-0.37,0
1,-2.2,M14960,M1,1,0,Transcription Factor Targets,16,POU3F2 02,,-2.2,2.7,3.2,30337,265,380,9,2.4,0.78,1523|3200|4784|5154|6595|7022|22859|26468|55229,CUX1|HOXA3|NFIX|PDGFA|SMARCA2|TFAP2C|ADGRL1|LHX6|PANK4,-0.37,0
1,-2.2,M13482,M1,1,0,Transcription Factor Targets,16,ZIC1 01,,-2.2,2.7,3.1,30337,266,380,9,2.4,0.78,4035|5023|6586|9828|10636|23254|23526|25862|92922,LRP1|P2RX1|SLIT3|ARHGEF17|RGS14|KAZN|ARHGAP45|USP49|CCDC102A,-0.36,0
1,-2.2,M19327,M1,1,0,Transcription Factor Targets,16,CDC5 01,,-2.2,2.7,3.1,30337,266,380,9,2.4,0.78,1523|3983|4330|5154|6382|6595|9314|79990|81873,CUX1|ABLIM1|MN1|PDGFA|SDC1|SMARCA2|KLF4|PLEKHH3|ARPC5L,-0.36,0
1,-2.2,M13332,M1,1,0,Transcription Factor Targets,16,HNF4 DR1 Q3,,-2.2,2.7,3.1,30337,267,380,9,2.4,0.78,639|3200|3202|3216|4035|8642|63976|153090|201191,PRDM1|HOXA3|HOXA5|HOXB6|LRP1|DCHS1|PRDM16|DAB2IP|SAMD14,-0.36,0
1,-2.2,M40701,M1,1,0,Transcription Factor Targets,16,ZNF623 TARGET GENES,,-2.2,4.2,3.5,30337,95,380,5,1.3,0.58,2314|4782|11033|53637|105372955,FLII|NFIC|ADAP1|S1PR5|LINC02557,-0.35,0
1,-2.2,M6422,M1,1,0,Transcription Factor Targets,16,TTAYRTAA E4BP4 01,,-2.2,2.7,3.1,30337,268,380,9,2.4,0.78,218|7465|9825|22883|22997|26468|55684|79026|161502,ALDH3A1|WEE1|SPATA2|CLSTN1|IGSF9B|LHX6|RABL6|AHNAK|CFAP161,-0.35,0
1,-2.1,M4155,M1,1,0,Transcription Factor Targets,16,E2F Q2,,-2.1,3.1,3.2,30337,180,380,7,1.8,0.69,1305|1952|2672|3142|6886|22883|63976,COL13A1|CELSR2|GFI1|HLX|TAL1|CLSTN1|PRDM16,-0.32,0
1,-2.1,M11244,M1,1,0,Transcription Factor Targets,16,AREB6 01,,-2.1,2.6,3,30337,274,380,9,2.4,0.78,1788|2779|3216|22997|26960|55684|90427|130497|256364,DNMT3A|GNAT1|HOXB6|IGSF9B|NBEA|RABL6|BMF|OSR1|EML3,-0.32,0
1,-2.1,M8720,M1,1,0,Transcription Factor Targets,16,STAT5A 03,,-2.1,2.6,3,30337,274,380,9,2.4,0.78,1523|1969|3200|3216|3339|4035|5581|23327|161502,CUX1|EPHA2|HOXA3|HOXB6|HSPG2|LRP1|PRKCE|NEDD4L|CFAP161,-0.32,0
1,-2.1,M11820,M1,1,0,Transcription Factor Targets,16,TTGCWCAAY CEBPB 02,,-2.1,5.1,3.6,30337,63,380,4,1.1,0.52,3202|5493|6586|90427,HOXA5|PPL|SLIT3|BMF,-0.32,0
1,-2,M8509,M1,1,0,Transcription Factor Targets,16,NMYC 01,,-2,2.6,3,30337,280,380,9,2.4,0.78,1788|5209|5581|7071|7465|8642|23352|130497|170691,DNMT3A|PFKFB3|PRKCE|KLF10|WEE1|DCHS1|UBR4|OSR1|ADAMTS17,-0.28,0
1,-2,M14782,M1,1,0,Transcription Factor Targets,16,VDR Q3,,-2,2.8,3,30337,232,380,8,2.1,0.74,3200|4035|7078|8553|8642|22859|90427|116986,HOXA3|LRP1|TIMP3|BHLHE40|DCHS1|ADGRL1|BMF|AGAP2,-0.28,0
1,-2,M3720,M1,1,0,Transcription Factor Targets,16,POU3F2 01,,-2,3.9,3.3,30337,102,380,5,1.3,0.58,1305|1523|3200|3216|342667,COL13A1|CUX1|HOXA3|HOXB6|STAC2,-0.28,0
1,-2,M822,M1,1,0,Transcription Factor Targets,16,YTATTTTNR MEF2 02,,-2,1.9,2.7,30337,715,380,17,4.5,1.1,639|1523|3142|3200|3202|3216|4774|4784|5154|6595|8553|9830|22997|26960|81873|84628|389337,PRDM1|CUX1|HLX|HOXA3|HOXA5|HOXB6|NFIA|NFIX|PDGFA|SMARCA2|BHLHE40|TRIM14|IGSF9B|NBEA|ARPC5L|NTNG2|ARHGEF37,-0.28,0
1,-2,M18386,M1,1,0,Transcription Factor Targets,16,STAT5A 02,,-2,3.3,3.2,30337,143,380,6,1.6,0.64,3216|4773|6382|6886|9314|26468,HOXB6|NFATC2|SDC1|TAL1|KLF4|LHX6,-0.28,0
